Loss Ef:V0H0He1 Ef:V0H0He2 Ef:V1H0He1 Ef:V1H0He2 Ef:V0H1He1 Ef:V0H1He2 Ef:V1H1He1 Ef:V1H1He2  Vr:V0H0He1 Vr:V0H0He2 Vr:V1H0He1 Vr:V1H0He2 Vr:V0H1He1 Vr:V0H1He2 Vr:V1H1He1 Vr:V1H1He2  
0.740982 5.60 10.43 5.01 7.94 5.78 10.38 4.73 7.65 0.59 1.06 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.740166 5.60 10.43 5.04 7.97 5.78 10.38 4.75 7.68 0.59 1.06 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.741519 5.60 10.42 5.05 7.97 5.77 10.37 4.75 7.68 0.59 1.06 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.747909 5.58 10.38 5.10 8.01 5.76 10.34 4.80 7.72 0.58 1.06 -0.34 -0.05 0.73 1.21 -0.23 0.02 
0.739797 5.60 10.43 5.05 7.98 5.78 10.38 4.76 7.69 0.59 1.06 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.725623 5.64 10.52 5.07 8.04 5.82 10.47 4.79 7.75 0.59 1.05 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.717384 5.74 10.72 5.13 8.18 5.92 10.66 4.84 7.89 0.59 1.05 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.706545 5.72 10.69 5.11 8.13 5.90 10.62 4.82 7.84 0.58 1.04 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.701694 5.77 10.80 5.11 8.16 5.94 10.71 4.81 7.86 0.59 1.04 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.702790 5.81 10.87 5.14 8.23 5.98 10.78 4.84 7.92 0.58 1.03 -0.34 -0.07 0.73 1.21 -0.23 0.02 
0.693682 5.75 10.76 5.11 8.15 5.93 10.67 4.81 7.84 0.58 1.04 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.683993 5.75 10.75 5.09 8.12 5.92 10.67 4.80 7.82 0.58 1.04 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.673227 5.74 10.73 5.14 8.16 5.91 10.65 4.85 7.87 0.58 1.03 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.670441 5.74 10.72 5.15 8.17 5.91 10.63 4.85 7.86 0.58 1.03 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.670488 5.74 10.73 5.16 8.18 5.91 10.64 4.86 7.87 0.58 1.03 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.670611 5.74 10.73 5.13 8.15 5.91 10.64 4.83 7.84 0.58 1.03 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.670514 5.74 10.72 5.14 8.16 5.91 10.64 4.85 7.86 0.58 1.03 -0.34 -0.06 0.73 1.21 -0.23 0.02 
0.660373 5.72 10.67 5.15 8.14 5.88 10.58 4.85 7.83 0.58 1.03 -0.34 -0.06 0.73 1.20 -0.23 0.02 
0.659761 5.63 10.48 5.11 8.01 5.78 10.39 4.80 7.70 0.57 1.03 -0.33 -0.06 0.73 1.20 -0.23 0.02 
0.662592 5.66 10.55 5.11 8.03 5.82 10.46 4.80 7.73 0.58 1.03 -0.33 -0.05 0.73 1.20 -0.23 0.03 
0.668709 5.63 10.49 5.16 8.07 5.79 10.41 4.85 7.76 0.57 1.03 -0.33 -0.05 0.73 1.20 -0.22 0.03 
0.669009 5.61 10.45 5.09 7.98 5.77 10.36 4.79 7.67 0.58 1.03 -0.33 -0.05 0.73 1.20 -0.23 0.03 
0.642050 5.64 10.50 5.12 8.02 5.79 10.41 4.81 7.70 0.57 1.02 -0.34 -0.06 0.73 1.19 -0.23 0.02 
0.642252 5.63 10.48 5.15 8.04 5.77 10.37 4.83 7.71 0.57 1.01 -0.34 -0.06 0.72 1.19 -0.23 0.02 
0.641964 5.64 10.50 5.11 8.01 5.79 10.40 4.80 7.70 0.57 1.02 -0.34 -0.06 0.73 1.19 -0.23 0.02 
0.644480 5.63 10.49 5.07 7.95 5.78 10.39 4.76 7.64 0.57 1.01 -0.34 -0.07 0.72 1.19 -0.23 0.02 
0.641714 5.63 10.50 5.12 8.02 5.79 10.40 4.81 7.71 0.57 1.02 -0.34 -0.06 0.73 1.19 -0.23 0.02 
0.643269 5.63 10.50 5.13 8.03 5.79 10.41 4.82 7.72 0.57 1.02 -0.34 -0.06 0.72 1.19 -0.23 0.02 
0.641772 5.63 10.50 5.11 8.01 5.79 10.40 4.80 7.70 0.57 1.02 -0.34 -0.06 0.73 1.19 -0.23 0.02 
